,period,forecast
0,1970-01-01,431.7282598969349
1,1970-02-01,472.23250402992176
2,1970-03-01,679.8144173007552
3,1970-04-01,694.8802767268328
4,1970-05-01,710.4386699403743
5,1970-06-01,696.8962127690191
6,1970-07-01,507.01504382015446
7,1970-08-01,317.09577807566865
8,1970-09-01,201.12992428091513
9,1970-10-01,205.81014023449887
10,1970-11-01,244.42787969344235
11,1970-12-01,376.20108221314825
12,1971-01-01,441.66396353914433
13,1971-02-01,499.03095641767686
14,1971-03-01,700.0996908741579
15,1971-04-01,692.2457743368005
16,1971-05-01,697.5530727683871
17,1971-06-01,698.0086403725336
18,1971-07-01,496.8563250871851
19,1971-08-01,311.90092109673293
20,1971-09-01,212.78447277884806
21,1971-10-01,202.9102662397667
22,1971-11-01,243.84728869774932
23,1971-12-01,342.2425566850911
24,1972-01-01,410.2471102802178
25,1972-02-01,466.4059948729521
26,1972-03-01,654.3078678205597
27,1972-04-01,668.659962835884
28,1972-05-01,678.939252926766
29,1972-06-01,671.0222314387014
